fname,fs,alpha,k
6869358_0_1379459120563510331.csv,1,None,999
6869358_0_1379459120563510331.csv,2,None,999
6869358_0_1379459120563510331.csv,3,None,999
6869358_0_1379459120563510331.csv,4,None,999
6869358_0_1379459120563510331.csv,5,None,999
55238374_0_3379409961751009152.csv,1,0.001,1
55238374_0_3379409961751009152.csv,2,0.001,1
55238374_0_3379409961751009152.csv,3,0.002,1
55238374_0_3379409961751009152.csv,4,0.04400000000000003,1
55238374_0_3379409961751009152.csv,5,0.08300000000000006,1
61121469_0_6337620713408906340.csv,1,0.001,1
61121469_0_6337620713408906340.csv,2,0.001,1
61121469_0_6337620713408906340.csv,3,0.002,1
61121469_0_6337620713408906340.csv,4,0.03900000000000003,1
61121469_0_6337620713408906340.csv,5,0.07300000000000005,1
41194422_0_7231546114369966811.csv,1,0.001,3
41194422_0_7231546114369966811.csv,2,0.001,2
41194422_0_7231546114369966811.csv,3,0.004,1
41194422_0_7231546114369966811.csv,4,0.1390000000000001,1
41194422_0_7231546114369966811.csv,5,0.2410000000000002,1
10630177_0_4831842476649004753.csv,1,0.001,1
10630177_0_4831842476649004753.csv,2,0.001,1
10630177_0_4831842476649004753.csv,3,0.013000000000000005,1
10630177_0_4831842476649004753.csv,4,0.12700000000000009,1
10630177_0_4831842476649004753.csv,5,0.21700000000000016,1
67865873_0_8259587610208037357.csv,1,0.001,2
67865873_0_8259587610208037357.csv,2,0.001,2
67865873_0_8259587610208037357.csv,3,0.004,1
67865873_0_8259587610208037357.csv,4,0.1300000000000001,1
67865873_0_8259587610208037357.csv,5,0.22800000000000017,1
51741865_0_9203644246202164492.csv,1,0.001,1
51741865_0_9203644246202164492.csv,2,0.001,1
51741865_0_9203644246202164492.csv,3,0.001,1
51741865_0_9203644246202164492.csv,4,0.001,1
51741865_0_9203644246202164492.csv,5,0.001,1
20135078_0_7570343137119682530.csv,1,0.001,1
20135078_0_7570343137119682530.csv,2,0.001,1
20135078_0_7570343137119682530.csv,3,0.026000000000000016,1
20135078_0_7570343137119682530.csv,4,0.23600000000000018,1
20135078_0_7570343137119682530.csv,5,0.3720000000000003,1
50245608_0_871275842592178099.csv,1,0.001,1
50245608_0_871275842592178099.csv,2,0.001,1
50245608_0_871275842592178099.csv,3,0.023000000000000013,1
50245608_0_871275842592178099.csv,4,0.21300000000000016,1
50245608_0_871275842592178099.csv,5,0.34200000000000025,1
21337553_0_8832378999628437599.csv,1,0.001,2
21337553_0_8832378999628437599.csv,2,0.001,1
21337553_0_8832378999628437599.csv,3,0.003,1
21337553_0_8832378999628437599.csv,4,0.057000000000000044,1
21337553_0_8832378999628437599.csv,5,0.10500000000000008,1
