fname,fs,alpha,k
25404227_0_2240631045609013057.csv,5,0.34200000000000025,1
75367212_2_2745466355267233390.csv,1,0.001,1
75367212_2_2745466355267233390.csv,2,0.001,1
75367212_2_2745466355267233390.csv,3,0.008,1
75367212_2_2745466355267233390.csv,4,0.08500000000000006,1
75367212_2_2745466355267233390.csv,5,0.1510000000000001,1
39650055_5_7135804139753401681.csv,1,0.001,1
39650055_5_7135804139753401681.csv,2,0.001,1
39650055_5_7135804139753401681.csv,3,0.014000000000000005,1
39650055_5_7135804139753401681.csv,4,0.1350000000000001,1
39650055_5_7135804139753401681.csv,5,0.22900000000000018,1
29414811_2_4773219892816395776.csv,2,1,0.001,2
29414811_2_4773219892816395776.csv,2,2,0.001,2
29414811_2_4773219892816395776.csv,2,3,0.002,2
29414811_2_4773219892816395776.csv,2,4,0.05100000000000004,2
29414811_2_4773219892816395776.csv,2,5,0.09600000000000007,2
16767252_0_2409448375013995751.csv,1,0.02000000000000001,1
16767252_0_2409448375013995751.csv,2,0.03900000000000003,1
16767252_0_2409448375013995751.csv,3,0.17000000000000012,1
16767252_0_2409448375013995751.csv,4,0.3140000000000002,1
16767252_0_2409448375013995751.csv,5,0.4160000000000003,1
71840765_0_6664391841933033844.csv,0,1,0.001,2
71840765_0_6664391841933033844.csv,0,2,0.001,2
71840765_0_6664391841933033844.csv,3,0.001,1
71840765_0_6664391841933033844.csv,4,0.015000000000000006,1
71840765_0_6664391841933033844.csv,5,0.02900000000000002,1
36102169_0_7739454799295072814.csv,1,0.001,1
36102169_0_7739454799295072814.csv,2,0.001,1
36102169_0_7739454799295072814.csv,3,0.009000000000000001,1
36102169_0_7739454799295072814.csv,4,0.09100000000000007,1
36102169_0_7739454799295072814.csv,5,0.16000000000000011,1
26310680_0_5150772059999313798.csv,1,0.001,1
26310680_0_5150772059999313798.csv,2,0.001,1
26310680_0_5150772059999313798.csv,3,0.003,1
26310680_0_5150772059999313798.csv,4,0.11700000000000009,1
26310680_0_5150772059999313798.csv,5,0.20700000000000016,1
45073662_0_3179937335063201739.csv,1,0.001,1
45073662_0_3179937335063201739.csv,2,0.001,1
45073662_0_3179937335063201739.csv,3,0.002,1
45073662_0_3179937335063201739.csv,4,0.04100000000000003,1
45073662_0_3179937335063201739.csv,5,0.07700000000000005,1
11833461_1_3811022039809817402.csv,1,0.001,1
11833461_1_3811022039809817402.csv,2,0.001,1
11833461_1_3811022039809817402.csv,3,0.008,1
11833461_1_3811022039809817402.csv,4,0.07900000000000006,1
11833461_1_3811022039809817402.csv,5,0.1410000000000001,1
