fname,colid,fsid,from_alpha,to_alpha
84548468_0_5955155464119382182.csv,1,3,0.03600,0.14100
84548468_0_5955155464119382182.csv,1,4,0.29700,0.33000
84548468_0_5955155464119382182.csv,1,5,0.44700,0.45100
33401079_0_9127583903019856402.csv,0,1,0.02800,0.68000
33401079_0_9127583903019856402.csv,0,2,0.05400,0.80400
33401079_0_9127583903019856402.csv,0,3,0.22800,0.88000
33401079_0_9127583903019856402.csv,0,4,0.38200,0.83600
33401079_0_9127583903019856402.csv,0,5,0.48400,0.74200
41819807_0_3139249984404131679.csv,0,1,-1.00000,-1.00000
41819807_0_3139249984404131679.csv,0,2,-1.00000,-1.00000
41819807_0_3139249984404131679.csv,0,3,0.00200,0.05000
41819807_0_3139249984404131679.csv,0,4,0.04900,0.34000
41819807_0_3139249984404131679.csv,0,5,0.09200,0.49400
63450419_0_8012592961815711786.csv,2,1,0.00100,0.02300
63450419_0_8012592961815711786.csv,2,2,0.00100,0.04600
63450419_0_8012592961815711786.csv,2,3,0.00300,0.51200
63450419_0_8012592961815711786.csv,2,4,0.02500,0.79900
63450419_0_8012592961815711786.csv,2,5,0.04700,0.87300
32051842_5_1757891723986774036.csv,1,1,-1.00000,-1.00000
32051842_5_1757891723986774036.csv,1,2,0.00100,0.00100
32051842_5_1757891723986774036.csv,1,3,0.00100,0.15200
32051842_5_1757891723986774036.csv,1,4,0.02900,0.65800
32051842_5_1757891723986774036.csv,1,5,0.05600,0.75900
88732174_0_7321365014357502211.csv,1,1,0.00100,0.04000
88732174_0_7321365014357502211.csv,1,2,0.00100,0.07800
88732174_0_7321365014357502211.csv,1,3,0.00200,0.67000
88732174_0_7321365014357502211.csv,1,4,0.03200,0.82100
88732174_0_7321365014357502211.csv,1,5,0.06000,0.87500
98312357_0_6395417306876145729.csv,0,1,-1.00000,-1.00000
98312357_0_6395417306876145729.csv,0,2,-1.00000,-1.00000
98312357_0_6395417306876145729.csv,0,3,0.00100,0.08400
