fname,colid,fs,alpha,k
1903%E2%80%9304_Swiss_Serie_A#1.csv,1,3,0.001,1
1903%E2%80%9304_Swiss_Serie_A#1.csv,1,4,0.001,1
1903%E2%80%9304_Swiss_Serie_A#1.csv,1,5,0.001,1
Air_Kyrgyzstan#0.csv,1,1,0.001,1
Air_Kyrgyzstan#0.csv,1,2,0.001,1
Air_Kyrgyzstan#0.csv,1,3,0.008,1
Air_Kyrgyzstan#0.csv,1,4,0.1330000000000001,1
Air_Kyrgyzstan#0.csv,1,5,0.23100000000000018,1
2006%E2%80%9307_Chester_City_F.C._season#2.csv,2,1,0.001,1
2006%E2%80%9307_Chester_City_F.C._season#2.csv,2,2,0.001,1
2006%E2%80%9307_Chester_City_F.C._season#2.csv,2,3,0.001,1
2006%E2%80%9307_Chester_City_F.C._season#2.csv,2,4,0.001,1
2006%E2%80%9307_Chester_City_F.C._season#2.csv,2,5,0.001,1
2014_Kumho_Tyres_V8_Touring_Car_Series#1.csv,1,1,None,999
2014_Kumho_Tyres_V8_Touring_Car_Series#1.csv,1,2,None,999
2014_Kumho_Tyres_V8_Touring_Car_Series#1.csv,1,3,None,999
2014_Kumho_Tyres_V8_Touring_Car_Series#1.csv,1,4,None,999
2014_Kumho_Tyres_V8_Touring_Car_Series#1.csv,1,5,None,999
List_of_streets_in_Baltimore#Highland_Avenue#4.csv,0,1,0.001,1
List_of_streets_in_Baltimore#Highland_Avenue#4.csv,0,2,0.001,1
List_of_streets_in_Baltimore#Highland_Avenue#4.csv,0,3,0.001,1
List_of_streets_in_Baltimore#Highland_Avenue#4.csv,0,4,0.001,1
List_of_streets_in_Baltimore#Highland_Avenue#4.csv,0,5,0.001,1
PFA_Team_of_the_Year_(2000s)#0.csv,1,1,0.5300000000000004,3
PFA_Team_of_the_Year_(2000s)#0.csv,1,2,0.8750000000000007,3
PFA_Team_of_the_Year_(2000s)#0.csv,1,3,0.9680000000000007,3
PFA_Team_of_the_Year_(2000s)#0.csv,1,4,0.9790000000000008,3
PFA_Team_of_the_Year_(2000s)#0.csv,1,5,0.9850000000000008,3
2012%E2%80%9313_TFF_First_League#6.csv,1,1,0.05300000000000004,1
2012%E2%80%9313_TFF_First_League#6.csv,1,2,0.09900000000000007,1
2012%E2%80%9313_TFF_First_League#6.csv,1,3,0.001,1
2012%E2%80%9313_TFF_First_League#6.csv,1,4,0.001,1
2012%E2%80%9313_TFF_First_League#6.csv,1,5,0.001,1
Hideya_Tawada#1.csv,1,1,0.001,1
Hideya_Tawada#1.csv,1,2,0.001,1
Hideya_Tawada#1.csv,1,3,0.001,1
Hideya_Tawada#1.csv,1,4,0.001,1
Hideya_Tawada#1.csv,1,5,0.001,1
25th_Parliament_of_British_Columbia#2.csv,0,1,0.007,1
25th_Parliament_of_British_Columbia#2.csv,0,2,0.014000000000000005,1
25th_Parliament_of_British_Columbia#2.csv,0,3,0.22900000000000018,1
25th_Parliament_of_British_Columbia#2.csv,0,4,0.5210000000000004,1
25th_Parliament_of_British_Columbia#2.csv,0,5,0.6340000000000005,2
Television_in_Angola#0.csv,0,1,None,999
Television_in_Angola#0.csv,0,2,None,999
Television_in_Angola#0.csv,0,3,None,999
Television_in_Angola#0.csv,0,4,None,999
Television_in_Angola#0.csv,0,5,None,999
Hylton_Viaduct#0.csv,0,1,0.001,1
Hylton_Viaduct#0.csv,0,2,0.001,1
Hylton_Viaduct#0.csv,0,3,0.001,1
Hylton_Viaduct#0.csv,0,4,0.001,1
Hylton_Viaduct#0.csv,0,5,0.001,1
Elections_in_Guam#0.csv,0,1,1.0000000000000007,12
Elections_in_Guam#0.csv,0,2,1.0000000000000007,12
Elections_in_Guam#0.csv,0,3,1.0000000000000007,12
Elections_in_Guam#0.csv,0,4,1.0000000000000007,12
Elections_in_Guam#0.csv,0,5,1.0000000000000007,12
1999_Rhein_Fire_season#0.csv,2,1,0.9770000000000008,4
1999_Rhein_Fire_season#0.csv,2,2,0.9890000000000008,4
1999_Rhein_Fire_season#0.csv,2,3,0.9980000000000008,4
1999_Rhein_Fire_season#0.csv,2,4,0.9990000000000008,4
1999_Rhein_Fire_season#0.csv,2,5,1.0000000000000007,4
IEC_27002#0.csv,0,1,0.001,2
IEC_27002#0.csv,0,2,0.001,2
IEC_27002#0.csv,0,3,0.006,1
IEC_27002#0.csv,0,4,0.1580000000000001,1
IEC_27002#0.csv,0,5,0.2710000000000002,1
2014_Acceleration_at_Navarra#3.csv,2,1,0.001,1
2014_Acceleration_at_Navarra#3.csv,2,2,0.001,1
2014_Acceleration_at_Navarra#3.csv,2,3,0.001,1
2014_Acceleration_at_Navarra#3.csv,2,4,0.004,1
2014_Acceleration_at_Navarra#3.csv,2,5,0.007,1
John_Taylor_(Mormon)#0.csv,0,1,0.001,1
John_Taylor_(Mormon)#0.csv,0,2,0.001,1
John_Taylor_(Mormon)#0.csv,0,3,0.001,1
John_Taylor_(Mormon)#0.csv,0,4,0.001,1
John_Taylor_(Mormon)#0.csv,0,5,0.001,1
United_States_House_of_Representatives_elections,_1956#Iowa#14.csv,1,1,0.036000000000000025,1
United_States_House_of_Representatives_elections,_1956#Iowa#14.csv,1,2,0.06900000000000005,1
United_States_House_of_Representatives_elections,_1956#Iowa#14.csv,1,3,0.2770000000000002,1
United_States_House_of_Representatives_elections,_1956#Iowa#14.csv,1,4,0.46000000000000035,1
